id_venda,data,produto,categoria,quantidade,preco_unitario,vendedor,regiao,cliente,status
1,2026-01-05,Notebook,Eletrônicos,2,3500.00,Ana,Sudeste,João Silva,Concluído
2,2026-01-06,Mouse,Eletrônicos,10,80.00,Bruno,Sul,Maria Souza,Concluído
3,2026-01-07,Teclado,Eletrônicos,5,150.00,Ana,Sudeste,Carlos Lima,Concluído
4,2026-01-08,Cadeira,Escritório,3,450.00,Carlos,Nordeste,Ana Paula,Cancelado
5,2026-01-09,Mesa,Escritório,2,800.00,Bruno,Sul,João Silva,Concluído
6,2026-01-10,Monitor,Eletrônicos,4,1200.00,Ana,Sudeste,Maria Souza,Concluído
7,2026-01-11,Caneta,Papelaria,50,2.50,Carlos,Nordeste,Pedro Alves,Concluído
8,2026-01-12,Caderno,Papelaria,30,15.00,Bruno,Sul,Ana Paula,Concluído
9,2026-01-13,Mochila,Acessórios,5,120.00,Ana,Sudeste,Carlos Lima,Concluído
10,2026-01-14,Fone,Acessórios,8,90.00,Carlos,Nordeste,João Silva,Cancelado
11,2026-01-15,Notebook,Eletrônicos,1,3500.00,Bruno,Sul,Maria Souza,Concluído
12,2026-01-16,Mouse,Eletrônicos,15,80.00,Ana,Sudeste,Pedro Alves,Concluído
13,2026-01-17,Cadeira,Escritório,4,450.00,Carlos,Nordeste,Ana Paula,Concluído
14,2026-01-18,Monitor,Eletrônicos,3,1200.00,Bruno,Sul,Carlos Lima,Concluído
15,2026-01-19,Caneta,Papelaria,100,2.50,Ana,Sudeste,João Silva,Concluído
16,2026-01-20,Notebook,Eletrônicos,,3500.00,Ana,Sudeste,Maria Souza,Concluído
17,2026-01-21,Mouse,Eletrônicos,8,,Bruno,Sul,Pedro Alves,Concluído
18,2026-01-22,Teclado,Eletrônicos,6,150.00,,Sudeste,Ana Paula,Concluído
19,2026-01-23,Cadeira,Escritório,2,450.00,Carlos,,Carlos Lima,Concluído
20,2026-01-24,Mesa,Escritório,1,800.00,Bruno,Sul,João Silva,CANCELADO
21,2026-01-25,Monitor,Eletrônicos,5,1200.00,Ana,Sudeste,Maria Souza,concluído
22,2026-01-26,Caneta,Papelaria,80,2.50,Carlos,Nordeste,Pedro Alves,Concluído
23,2026-01-27,Caderno,Papelaria,25,15.00,Bruno,Sul,Ana Paula,Concluído
24,2026-01-28,Mochila,Acessórios,3,120.00,Ana,Sudeste,Carlos Lima,Concluído
25,2026-01-29,Fone,Acessórios,10,90.00,Carlos,Nordeste,João Silva,Concluído
26,2026-01-30,Notebook,Eletrônicos,2,3500.00,Bruno,Sul,Maria Souza,Concluído
27,2026-01-31,Mouse,Eletrônicos,12,80.00,Ana,Sudeste,Pedro Alves,Concluído
28,2026-02-01,Teclado,Eletrônicos,7,150.00,Ana,Sudeste,Ana Paula,Concluído
29,2026-02-02,Cadeira,Escritório,5,450.00,Carlos,Nordeste,Carlos Lima,Concluído
30,2026-02-03,Mesa,Escritório,3,800.00,Bruno,Sul,João Silva,Concluído
31,2026-02-04,Monitor,Eletrônicos,6,1200.00,Ana,Sudeste,Maria Souza,Concluído
32,2026-02-05,Caneta,Papelaria,120,2.50,Carlos,Nordeste,Pedro Alves,Concluído
33,2026-02-06,Caderno,Papelaria,40,15.00,Bruno,Sul,Ana Paula,Concluído
34,2026-02-07,Mochila,Acessórios,4,120.00,Ana,Sudeste,Carlos Lima,Concluído
35,2026-02-08,Fone,Acessórios,6,90.00,Carlos,Nordeste,João Silva,Concluído
36,2026-02-09,Notebook,Eletrônicos,3,3500.00,Bruno,Sul,Maria Souza,Concluído
37,2026-02-10,Mouse,Eletrônicos,20,80.00,Ana,Sudeste,Pedro Alves,Concluído
38,2026-02-11,Teclado,Eletrônicos,8,150.00,Ana,Sudeste,Ana Paula,Concluído
39,2026-02-12,Cadeira,Escritório,6,450.00,Carlos,Nordeste,Carlos Lima,Concluído
40,2026-02-13,Mesa,Escritório,4,800.00,Bruno,Sul,João Silva,Concluído
41,2026-02-14,Monitor,Eletrônicos,7,1200.00,Ana,Sudeste,Maria Souza,Concluído
42,2026-02-15,Caneta,Papelaria,150,2.50,Carlos,Nordeste,Pedro Alves,Concluído
43,2026-02-16,Caderno,Papelaria,50,15.00,Bruno,Sul,Ana Paula,Concluído
44,2026-02-17,Mochila,Acessórios,6,120.00,Ana,Sudeste,Carlos Lima,Concluído
45,2026-02-18,Fone,Acessórios,12,90.00,Carlos,Nordeste,João Silva,Concluído
46,2026-02-19,Notebook,Eletrônicos,4,3500.00,Bruno,Sul,Maria Souza,Concluído
47,2026-02-20,Mouse,Eletrônicos,25,80.00,Ana,Sudeste,Pedro Alves,Concluído
48,2026-02-21,Teclado,Eletrônicos,9,150.00,Ana,Sudeste,Ana Paula,Concluído
49,2026-02-22,Cadeira,Escritório,7,450.00,Carlos,Nordeste,Carlos Lima,Concluído
50,2026-02-23,Mesa,Escritório,5,800.00,Bruno,Sul,João Silva,Concluído
